Year;Month;Day;Hour;Minute;Temperature daily mean;Relative humidity daily mean;Mean Sea Level Pressure daily mean;Total Precipitation daily sum;Snowfall amount daily sum;Total cloud cover daily mean;Shortwave Radiation daily sum;Wind speed daily mean;Wind direction daily mean;Temperature daily max;Temperature daily min;Relative humidity daily max;Relative humidity daily min;Mean Sea Level Pressure daily max;Mean Sea Level Pressure daily min;Total cloud cover daily max;Total cloud cover daily min;Wind speed daily max;Wind speed daily min
2016;01;01;00;00;6.88;84.88;1025.84;0.00;0.00;78.28;1720.37;11.96;171.78;8.60;5.58;97.00;75.00;1029.60;1019.20;100.00;0.00;19.81;4.68
2016;01;02;00;00;5.76;86.71;1015.26;6.30;0.00;85.62;430.76;14.58;154.79;8.15;3.84;94.00;75.00;1018.20;1013.60;100.00;0.00;22.48;6.38
2016;01;03;00;00;6.70;71.88;1009.49;0.70;0.00;83.21;1505.88;14.85;223.16;9.71;4.22;84.00;56.00;1014.40;998.90;100.00;13.00;19.39;5.60
2016;01;04;00;00;6.63;76.50;995.54;12.50;0.00;67.21;1683.88;22.79;236.34;8.43;4.40;84.00;67.00;997.80;993.70;100.00;0.00;30.01;12.89
2016;01;05;00;00;5.82;78.33;996.87;5.20;0.00;66.71;1456.04;14.31;209.92;8.75;2.88;95.00;65.00;999.60;994.40;100.00;0.00;24.40;6.92
2016;01;06;00;00;5.61;77.42;1000.65;0.70;0.00;66.88;1496.98;11.85;215.72;8.89;2.35;87.00;61.00;1003.60;999.30;100.00;0.00;18.21;5.00
2016;01;07;00;00;5.30;83.88;1001.44;7.50;0.00;75.16;446.78;17.62;202.09;9.89;1.96;90.00;74.00;1005.60;994.00;100.00;0.00;34.71;7.15
2016;01;08;00;00;6.95;82.42;1007.33;1.70;0.00;90.62;1683.88;13.71;183.27;10.99;4.10;93.00;57.00;1010.60;1003.80;100.00;10.00;23.89;2.04
2016;01;09;00;00;8.53;88.54;1003.79;7.10;0.00;80.96;1193.49;6.75;189.64;12.18;6.85;97.00;74.00;1006.70;1001.70;100.00;0.00;15.07;1.44
2016;01;10;00;00;8.16;77.00;999.18;4.10;0.00;74.33;1035.07;17.80;221.65;9.87;5.92;93.00;61.00;1001.50;995.30;100.00;0.00;33.63;6.52
2016;01;11;00;00;7.03;80.29;994.45;15.30;0.00;79.29;1393.74;21.06;217.06;9.48;4.99;95.00;65.00;999.30;991.70;100.00;0.00;35.23;3.96
2016;01;12;00;00;5.60;76.38;1001.49;3.80;0.00;33.96;1949.10;34.75;252.46;7.43;4.06;82.00;71.00;1008.70;995.90;100.00;0.00;48.20;24.38
2016;01;13;00;00;3.08;78.42;1016.81;0.20;0.28;72.08;1377.72;34.72;255.48;4.61;1.69;83.00;74.00;1021.70;1009.60;100.00;5.00;49.36;12.31
2016;01;14;00;00;1.24;82.25;1012.78;2.10;0.63;49.08;1060.88;16.81;182.92;5.01;-1.65;93.00;54.00;1020.60;1007.90;100.00;0.00;32.86;7.10
